origin;destination;tabblad;scherm;bestand
association.subject;trefwoord_1;inhoudelijke;trefwoord;
association.subject.type;trefwoord_2;inhoudelijke;trefwoord;
association.period;objectVervaardigingNote_a2;fysieke;vervaardiging;
association.period.date.end;objectVervaardigingNote_a4;fysieke;vervaardiging;
association.period.date.start;objectVervaardigingNote_a3;fysieke;vervaardiging;
association.period.note;objectVervaardigingNote_a1;fysieke;vervaardiging;
association.person;gerelateerd_aan;relaties;gerelateerde;ca_objects_x_entities
acquisition.source;acquisitionSource;verwerving;verwerving;ca_objects_x_entities
acquisition.date;acquisitionDate_1;beheer;verwerving;
acquisition.date.precision;acquisitionDate_2;beheer;verwerving;
acquisition.notes;acquisitionNote_1;beheer;verwerving;
acquisition.price.currency;acquisitionNote_2;beheer;verwerving;
acquisition.price.value;acquisitionNote_3;beheer;verwerving;
administration_name;collectieBeschrijving_1;identificatie;collectiebeschrijving;ca_collections
alternative_number;objectInventarisnrBplts_1;verwerving;inventarisnummer;
alternative_number.institution;bewaarinstelling_van;verwerving;bewaarinstelling;ca_objects_x_entities
alternative_number.type;objectInventarisnrBplts_2;verwerving;inventarisnummer;
collection;collectieBeschrijving_2;identificatie;collectiebeschrijving;ca_collections
completeness.notes;completenessNote;fysieke;volledigheid;
completeness;completeness;fysieke;volledigheid;
condition.notes;toestandNote_1;fysieke;toestand;
condition;toestand;fysieke;toestand;
condition.part;toestandNote_2;fysieke;toestand;
content.description;inhoudBeschrijving_1;inhoudelijke;inhoudelijke;
content.description.part;inhoudBeschrijving_2;inhoudelijke;inhoudelijke;
content.person.position;inhoudBeschrijving_3;inhoudelijke;inhoudelijke;
content.subject;trefwoord_3;inhoudelijke;trefwoord;
content.subject.name;trefwoord_4;inhoudelijke;trefwoord;
content.subject.note;inhoudBeschrijving_4;inhoudelijke;inhoudelijke;
creator.role;vervaardigerRol;fysieke; vervaardiger;
creator;vervaardiger;fysieke;vervaardiger;ca_objects_x_entities
creator.date_of_birth;persoonDatum;bio;historische_persoon; ca_entities
creator.date_of_birth;historischeOrganisatieDatum;identificatie;historische_org;ca_entities
creator.date_of_death;persoonDatum;bio;historische_persoon;ca_entities
creator.date_of_death;historischeOrganisatieDatum;identificatie;historische_org;ca_entities
current_owner;eigenaar_van;verwerving;bewaarinstelling;ca_objects_x_entities
description;inhoudBeschrijving_5;inhoudelijke;inhoudelijke;
dimension.notes;dimensions_notes_1;fysieke;afmeting;
dimension.part;dimensionsNaamOnderdeel;fysieke;afmeting;
dimension.part;dimensionsDeel;fysieke;afmeting;
dimension.precision;dimensions_precisie;fysieke;afmeting;
dimension.type;dimensions_notes_2;fysieke;afmeting;
dimension.unit;unit;fysieke;afmeting;
dimension.value;value;fysieke;afmeting;
documentation.author;refAuteur;referentie;documentatie;ca_occurrences
documentation.free_text;refNote;referentie;documentatie;ca_occurrences
documentation.page_reference;refPagina;referentie;documentatie;ca_occurrences
documentation.title.article;preferred_label_occur_1;identificatie;documentatie;ca_occurrences
documentation.title;preferred_label_occur_2;identificatie;documentatie;ca_occurrences
exhibition;set;beheer;verhaal;ca_sets
inscription.content;opschrift_content;fysieke;opschrift;
inscription.creator;opschriftNotes_1;fysieke;opschrift;
inscription.description;opschrift_description;fysieke;opschrift;
inscription.interpretation;opschriftNotes_2;fysieke;opschrift;
inscription.language;opschriftNotes_3;fysieke;opschrift;
inscription.method;opschriftNotes_4;fysieke;opschrift;
inscription.notes;opschriftNotes_5;fysieke;opschrift;
inscription.position;opschrift_position;fysieke;opschrift;
inscription.type;opschriftNotes_6;fysieke;opschrift;
inscription.date;opschriftDate;fysieke;opschrift;
inscription.translation;opschriftTranslation;fysieke;opschrift;
institution.name;bewaarinstelling;beheer;bewaarinstelling;ca_objects_x_entities
material.notes;materiaalNotes;fysieke;materiaal;
material.part;materiaalNaamOnderdeel;fysieke;materiaal;
material.part;materiaalDeel;fysieke,materiaal;
material;materiaal;fysieke;materiaal;
notes;inhoudBeschrijving_6;inhoudelijke;inhoudelijke;
number_of_parts;numberOfObjects_1;fysieke;aantal;
object_name.notes;objectnaamOpmerkingen_1;identificatie;objectnaam_bijkomende_info;
object_name.type;objectnaamOpmerkingen_2;identificatie;objectnaam_bijkomende_info;
object_name;objectNaam;identificatie;objectnaam;
object_name.authority;objectnaamOpmerkingen_3;identificatie;objectnaam_bijkomende_info;
object_number;adlibObjectNummer;identificatie;objectnummer;
other_name.type;objectnaamAlternatief_1;identificatie;alternatieve;
other_name;objectnaamAlternatief_2;identificatie;alternatieve;
part;numberOfObjects_2;fysieke;aantal;
pedigree.acquired.by;acquisitionNote_4;verwerving;verwerving;
pedigree.acquired.from;acquisitionNote_5;verwerving;verwerving;
pedigree.acquisition.date;acquisitionDate_3;verwerving;verwerving;
pedigree.acquisition.method;acquisitionMethode_2;verwerving;verwerving;
pedigree.acquisition.price;acquisitionNote_6;verwerving;verwerving;
pedigree.notes;acquisitionNote_7;verwerving;verwerving;
physical_characteristic.aspect;physicalDescription_1;fysieke;fysieke;
physical_characteristic.keyword;physicalDescription_2;fysieke;fysieke;
physical_characteristic.part;physicalDescription_3;fysieke;fysieke;
phys_characteristic.aspect;physicalDescription_4;fysieke;fysieke;
phys_characteristic.notes;physicalDescription_5;fysieke;fysieke;
phys_characteristic.part;physicalDescription_6;fysieke;fysieke;
physical_description;physicalDescription_7;fysieke;fysieke;
priref;idno;;;
production.date.end;objectVervaardigingDate_1;fysieke;vervaardiging;
production.date.notes;objectVervaardigingNote_1;fysieke;vervaardiging;
production.date.start;objectVervaardigingDate_2;fysieke;vervaardiging;
production.date.end.prec;objectVervaardigingDate_3;fysieke;vervaardiging;
production.reason;objectVervaardigingNote_2;fysieke;vervaardiging;
production.notes;objectVervaardigingNote_3;fysieke;vervaardiging;
production.period;objectVervaardigingDate_4;fysieke;vervaardiging;
